5.663192793204988723e-03,4.985893816951427436e-03,4.458539831516127733e-03,4.075780292661318992e-03,3.829771890137727459e-03,3.820920651603500542e-03,3.812069413069273625e-03,3.803218174535046275e-03,3.987627614530974383e-03,4.244362244004923693e-03,4.558261600109303480e-03,4.914277949143447746e-03,5.297754023662663847e-03,5.694640788493033831e-03,6.091527553323404683e-03,6.475879767044732775e-03,6.835889386927716804e-03,7.160608396500651486e-03,7.440015929383315442e-03,7.665151228211095243e-03,7.828280490487041568e-03,7.923073878254647054e-03,7.944769190035734507e-03,7.890303915523417047e-03,7.758403376720118295e-03
7.487049130111297565e-03,6.546170662862176200e-03,5.759423454399465597e-03,5.208983476125490959e-03,4.634097576676063888e-03,4.282078548548229335e-03,4.057896044613052040e-03,3.949898926767043614e-03,3.945124991451311181e-03,4.029689374528091193e-03,4.189159356130931627e-03,4.408896873574440906e-03,4.674353410876355523e-03,4.971308172791830994e-03,5.362346249472541189e-03,5.605508031269162104e-03,5.917363195685126226e-03,6.210137349337028177e-03,6.473300540289859267e-03,6.697390089271222473e-03,6.874144405319307198e-03,6.996641567513123793e-03,7.059429683884481041e-03,7.058635750616598994e-03,7.161794634742986443e-03
9.473527725179021683e-03,8.272354640114868221e-03,7.300284336756594598e-03,6.342186659589662927e-03,5.609517023726840433e-03,5.024949984531989697e-03,4.580461802642961724e-03,4.266098099507599495e-03,4.070330960679375068e-03,3.980429704861644484e-03,4.021949429154314873e-03,4.063469153446986129e-03,4.208118827266594912e-03,4.402630193893546443e-03,4.633164945621677695e-03,4.886371410971506422e-03,5.149531399997142773e-03,5.410688674643686705e-03,5.658770880674303914e-03,5.867675237684876269e-03,6.076579594695448623e-03,6.229694915945509573e-03,6.336751700482395021e-03,6.392911049060087843e-03,6.565185892765853723e-03
1.164404866995610854e-02,1.013713619622224824e-02,8.841145219113723600e-03,7.788050559265723496e-03,6.734955899417724261e-03,5.920228930245670027e-03,5.257147206352771017e-03,4.737500821612864073e-03,4.351265698073885149e-03,4.086957787895331012e-03,3.931991574456274348e-03,3.945400576610729598e-03,3.896290866756761586e-03,3.987863084789318273e-03,4.133922882568078459e-03,4.320956766023931715e-03,4.535934211874831194e-03,4.842857229507070357e-03,5.078262558087872844e-03,5.276256963311548587e-03,5.439767855411840186e-03,5.625950052110813282e-03,5.779852553915269808e-03,5.895558723378653380e-03,5.968577150788721870e-03
1.381456961473319367e-02,1.211028579394052632e-02,1.056832782222590951e-02,9.193092836467580894e-03,7.985966931668050592e-03,6.997768834011900037e-03,6.067581063380419679e-03,5.419642268567044160e-03,4.771703473753667775e-03,4.335101164727780086e-03,4.024484677614862706e-03,3.827331999774473501e-03,3.730441928359303199e-03,3.720232134250192960e-03,3.852091936269374725e-03,3.975458627721049909e-03,4.073440379016139007e-03,4.275025784370454877e-03,4.497754235501441773e-03,4.730232153848499925e-03,4.961972490709965974e-03,5.183518311609957262e-03,5.386555041429386299e-03,5.564006887589164306e-03,6.068743537886032297e-03
1.611838826276681264e-02,1.417987477813439402e-02,1.240492260118635295e-02,1.077019623696726450e-02,9.335271857724888531e-03,8.075308737778130047e-03,6.988210641091792408e-03,6.150024813243344657e-03,5.311838985394896906e-03,4.706891999415736307e-03,4.244122277135024476e-03,3.911901320224998174e-03,3.755946880226969896e-03,3.588302153733751235e-03,3.570260989970670991e-03,3.629960489418168970e-03,3.819295193858445250e-03,3.928957643671231181e-03,4.142368516207751462e-03,4.382066209648561965e-03,4.636729599075251236e-03,4.895932684773002599e-03,5.292307107690234769e-03,5.599691757045069385e-03,6.168909924983343590e-03
1.842220691080043160e-02,1.624946376232826173e-02,1.424151738014679640e-02,1.249742484709426282e-02,1.075333231404172751e-02,9.281833462141128935e-03,7.992886855117059888e-03,6.883667136102103977e-03,5.948910926444077665e-03,5.181221743835836419e-03,4.571395100271136679e-03,4.108749733574828568e-03,3.781451832094636593e-03,3.576821435006565918e-03,3.535003510816209747e-03,3.482271396926586975e-03,3.565150008700751060e-03,3.776152116059347530e-03,3.923732855686774129e-03,4.173413436918518675e-03,4.517712600713494689e-03,4.752819793266625271e-03,5.198059173951083238e-03,5.635376626500974463e-03,6.269076312080654884e-03
2.071421444779431714e-02,1.834550123740147365e-02,1.612052955237356852e-02,1.416473662141510236e-02,1.220894369045663619e-02,1.053538285043368987e-02,9.053461771772339239e-03,7.762155094022233325e-03,6.748312643355647636e-03,5.734470192689061947e-03,4.984114966645134155e-03,4.397053225877549029e-03,4.032236058361813452e-03,3.667418890846078309e-03,3.499746031661748503e-03,3.445709139659547306e-03,3.491531100256041291e-03,3.623346588447463445e-03,3.827393538569245305e-03,4.113044570460491940e-03,4.398695602351738142e-03,4.740470336587726541e-03,5.103811240211931707e-03,5.671061495956879542e-03,6.369242699177965310e-03
2.300622198478820268e-02,2.041117301094813249e-02,1.798154371004486232e-02,1.584675071070822117e-02,1.365614711734179643e-02,1.180505239050488181e-02,1.014039632713407968e-02,8.676633947612599068e-03,7.411729519235850210e-03,6.434886286371632041e-03,5.458043053507413873e-03,4.753785003282981481e-03,4.218054312771679810e-03,3.911407715175781001e-03,3.604761117579881758e-03,3.501211024907158968e-03,3.514715951304142518e-03,3.631095441369747590e-03,3.836076348263186848e-03,4.145740232492624300e-03,4.455404116722062186e-03,4.842379615551046720e-03,5.263537166278408133e-03,5.706746365412784620e-03,6.469409086275276603e-03
2.519646919368823818e-02,2.241043994955605953e-02,1.978959280679819244e-02,1.734976473162316152e-02,1.510335054422695666e-02,1.305933226273508184e-02,1.122337459981208145e-02,9.597981682188509028e-03,8.205520922788670998e-03,6.995363282679852718e-03,5.967508761862054187e-03,5.154337410120414346e-03,4.538769052921842045e-03,4.109162330165933193e-03,3.774803215152896553e-03,3.627659998980388521e-03,3.614225937963067015e-03,3.720021051592357995e-03,3.962444208452269197e-03,4.230115457509639985e-03,4.640787835187709306e-03,5.039778852807366358e-03,5.521069716202050767e-03,6.035225210209255349e-03,6.569575473372587029e-03
