TSS_max,LCOW,SEC,Ener_aeration,SEC_electroNP,Ne_SEC
3.599999999999999728e-02,5.412473060719683593e-01,7.074347755083276734e-01,6.427156211270418362e-01,2.302701194290942589e-03,4.771972992111750966e-01
3.658333333333332882e-02,5.206278148191718635e-01,4.787005393058187397e-01,4.137919690736968081e-01,2.272310995894105939e-03,4.771972992111750966e-01
3.716666666666666730e-02,9.448101559841620700e-01,5.062101133459232294e+00,4.996891085362171303e+00,2.698428059604440852e-03,4.771972992111750966e-01
3.774999999999999883e-02,5.181032771865881070e-01,4.282713136474774474e-01,3.638043806149658943e-01,1.487892680416453639e-03,4.771972992111750966e-01
3.833333333333333037e-02,5.181032772074939396e-01,4.282712782149628583e-01,3.638043450542213786e-01,1.487892366570819263e-03,4.771972992111750966e-01
3.891666666666666885e-02,5.181032772074933845e-01,4.282712717845073569e-01,3.638043386004422008e-01,1.487892310036534847e-03,4.771972992111750966e-01
3.950000000000000039e-02,5.181032771656746139e-01,4.282712688752770558e-01,3.638043356801226036e-01,1.487892289097359107e-03,4.771972992111750966e-01
4.008333333333333193e-02,5.181032772074958270e-01,4.282712676201104185e-01,3.638043344209427321e-01,1.487892273422573419e-03,4.771972992111750966e-01
4.066666666666666347e-02,5.181032772074928294e-01,4.282712666846587579e-01,3.638043334820986185e-01,1.487892265198044722e-03,4.771972992111750966e-01
4.125000000000000194e-02,5.181032771865816677e-01,4.282712659276978751e-01,3.638043327221233136e-01,1.487892260862233064e-03,4.771972992111750966e-01
4.183333333333333348e-02,5.181032772074951609e-01,4.282712655680274150e-01,3.638043323614176816e-01,1.487892255380364416e-03,4.771972992111750966e-01
4.241666666666666502e-02,5.181032771447581231e-01,4.282712648722187820e-01,3.638043316622750489e-01,1.487892256224097485e-03,4.771972992111750966e-01
4.299999999999999656e-02,5.181032772074949388e-01,4.282712649244879155e-01,3.638043317155443823e-01,1.487892249722449307e-03,4.771972992111750966e-01
4.358333333333333504e-02,5.181032772074953829e-01,4.282712646951655766e-01,3.638043314853904864e-01,1.487892247706189101e-03,4.771972992111750966e-01
4.416666666666666657e-02,5.181032771656721714e-01,4.282712642819786475e-01,3.638043310701656319e-01,1.487892248712994418e-03,4.771972992111750966e-01
4.474999999999999811e-02,5.181032772074933845e-01,4.282712643471230374e-01,3.638043311360859566e-01,1.487892244645790596e-03,4.771972992111750966e-01
4.533333333333333659e-02,5.181032772074952719e-01,4.282712642119392843e-01,3.638043310004108744e-01,1.487892243458380183e-03,4.771972992111750966e-01
4.591666666666666813e-02,5.181032772074928294e-01,4.282712640954723926e-01,3.638043308835212652e-01,1.487892242434692321e-03,4.771972992111750966e-01
4.649999999999999967e-02,5.181032771363053291e-01,4.282712636129035744e-01,3.638043303982851362e-01,1.487892246088686745e-03,4.771972992111750966e-01
4.708333333333333814e-02,5.181032772074926074e-01,4.282712639050584302e-01,3.638043306924186870e-01,1.487892240758521183e-03,4.771972992111750966e-01
4.766666666666666968e-02,5.181032771849698459e-01,4.282712637056014238e-01,3.638043304919480470e-01,1.487892241503613539e-03,4.771972992111750966e-01
4.825000000000000122e-02,5.326244177001033808e-01,4.561661189784744219e-01,3.896629960869293918e-01,2.472549929818301882e-03,4.771972992111750966e-01
4.883333333333333970e-02,5.181032772074936066e-01,4.282712636928754368e-01,3.638043304794641997e-01,1.487892238894868288e-03,4.771972992111750966e-01
4.941666666666667124e-02,5.181032771865849984e-01,4.282712635240219501e-01,3.638043303097299730e-01,1.487892239729080327e-03,4.771972992111750966e-01
5.000000000000000278e-02,5.325060464398492233e-01,4.549562910766409840e-01,3.884546549573886787e-01,2.469560539141314910e-03,4.771972992111750966e-01
