TSS_max,LCOW,SEC,Ener_aeration,SEC_electroNP,Ne_SEC
3.599999999999999728e-02,5.412473060719683593e-01,7.074347755083276734e-01,6.427156211270418362e-01,2.302701194290942589e-03,4.771972992111750966e-01
3.699999999999999817e-02,5.184055568094164679e-01,4.460723761431271139e-01,3.815676097337664108e-01,1.711441141931233437e-03,4.771972992111750966e-01
3.799999999999999906e-02,5.186634780731880223e-01,4.359522189740525078e-01,3.716971316728542307e-01,1.366282965425746421e-03,4.771972992111750966e-01
3.899999999999999994e-02,5.186634812434024466e-01,4.359523280891072217e-01,3.716972307763045102e-01,1.366293922374316660e-03,4.771972992111750966e-01
4.000000000000000083e-02,5.181032772074946058e-01,4.282712677892802078e-01,3.638043345907280846e-01,1.487892274908009758e-03,4.771972992111750966e-01
4.100000000000000172e-02,5.181032772074946058e-01,4.282712662898374711e-01,3.638043330858434232e-01,1.487892261728633765e-03,4.771972992111750966e-01
4.200000000000000261e-02,5.181032772075926385e-01,4.282712654569451605e-01,3.638043322499103227e-01,1.487892254381013640e-03,4.771972992111750966e-01
4.299999999999999656e-02,5.181032772074949388e-01,4.282712649244879155e-01,3.638043317155443823e-01,1.487892249722449307e-03,4.771972992111750966e-01
4.399999999999999745e-02,5.181032772074939396e-01,4.282712645565395215e-01,3.638043313462610562e-01,1.487892246487832306e-03,4.771972992111750966e-01
4.499999999999999833e-02,5.181032772074931625e-01,4.282712642866131070e-01,3.638043310753556470e-01,1.487892244114673128e-03,4.771972992111750966e-01
4.599999999999999922e-02,5.181032772074918302e-01,4.282712640801391579e-01,3.638043308681317423e-01,1.487892242300432530e-03,4.771972992111750966e-01
4.700000000000000011e-02,5.181032772074941617e-01,4.282712639171017410e-01,3.638043307045061847e-01,1.487892240863870723e-03,4.771972992111750966e-01
4.800000000000000100e-02,5.181032772074921633e-01,4.282712637851026072e-01,3.638043305720262688e-01,1.487892239705488956e-03,4.771972992111750966e-01
4.900000000000000189e-02,5.181032772074961601e-01,4.282712636760394598e-01,3.638043304625674934e-01,1.487892238746528180e-03,4.771972992111750966e-01
5.000000000000000278e-02,5.325060464398492233e-01,4.549562910766409840e-01,3.884546549573886787e-01,2.469560539141314910e-03,4.771972992111750966e-01
