5.663192793204988723e-03,4.594174787421980398e-03,3.954141551056252271e-03,3.703118210918145397e-03,3.783654523449158161e-03,4.219993882580444500e-03,4.656333241711729971e-03,5.297754023662663847e-03,5.978871268529451465e-03,6.633808695587653168e-03,7.203519128297339140e-03,7.636619340314692965e-03,7.891158898391799001e-03,7.937068947316614290e-03,7.758403376720118295e-03
8.891016975817277526e-03,7.054499581958139330e-03,5.902473551391395311e-03,5.247445341205205470e-03,4.188412260970931361e-03,4.120754067614622144e-03,4.053095874258312928e-03,4.325331901639759349e-03,4.760151359755260964e-03,5.194970817870763445e-03,5.632508172385319173e-03,6.070045526899874901e-03,6.612331554084099720e-03,6.543380546362320520e-03,6.548033731693622336e-03
1.253486369385622273e-02,9.953034599927008605e-03,7.850805551726538350e-03,6.455668624815629267e-03,5.060531697904721050e-03,4.711200839912598262e-03,4.112250459408040709e-03,3.807996850275633446e-03,4.006344928608138525e-03,4.204693006940644039e-03,4.731206273094182638e-03,5.107476674039434193e-03,5.333504209776400440e-03,5.635692212424710072e-03,5.837584241034984335e-03
1.643310804297414690e-02,1.339203565172570817e-02,1.035096326047727118e-02,8.073564662066828532e-03,6.305761363913572892e-03,5.019974947574759074e-03,4.171405044557769358e-03,3.702941063539500876e-03,3.549953547533530457e-03,3.644516480377725867e-03,3.918880285442027239e-03,4.336080401440118963e-03,4.753280517438210687e-03,5.201815852416877793e-03,5.610904879207923371e-03
2.040704278966320312e-02,1.646186714364429246e-02,1.329847431741739208e-02,1.013508149119048997e-02,8.075796031589312432e-03,6.016510571988134895e-03,4.742086956677758237e-03,3.931254336208150207e-03,3.524453752895032217e-03,3.455499790455160859e-03,3.755152862106598231e-03,4.054805933758036038e-03,4.757388448239867514e-03,5.368810509115850074e-03,5.818199475079141418e-03
2.412186025590384517e-02,1.973151076202865270e-02,1.570962545293123208e-02,1.226108568312839729e-02,9.414039057510349695e-03,7.170226629918718779e-03,5.508472766041575160e-03,4.388935862149392735e-03,3.757578323529493260e-03,3.550416148000441578e-03,3.697313113908082000e-03,4.229404746474802954e-03,4.761496379041524341e-03,5.535805165814821488e-03,6.383280169211438121e-03
2.783667772214448721e-02,2.277622946281687363e-02,1.823731688815830032e-02,1.429417056930096762e-02,1.099097332990093580e-02,8.343546190820333788e-03,6.309715075386784083e-03,4.956328139237405755e-03,4.149975009667039930e-03,4.012129207498643831e-03,3.943599778690902447e-03,4.594073629230681181e-03,5.244547479770459916e-03,6.205904844053885747e-03,7.210527876659959465e-03
3.093293217505970610e-02,2.542769072496773794e-02,2.044649666057168219e-02,1.588460321132023623e-02,1.238683331490259693e-02,9.269922262354688205e-03,7.110957384731993007e-03,5.507106851685525384e-03,4.542371695804586600e-03,4.411957416023757315e-03,4.281543136242928031e-03,5.004570858371162195e-03,5.727598580499396359e-03,6.876004522292950005e-03,8.191951079658131921e-03
3.340391889927681046e-02,2.753442447410313354e-02,2.218969828872599526e-02,1.747503585333950657e-02,1.324308543035302918e-02,1.019629833388904262e-02,7.685610107204150776e-03,6.269098277329692923e-03,4.852586447455235069e-03,4.436193715070638720e-03,4.595580688701533453e-03,5.446840403550706408e-03,6.298100118399880230e-03,7.652900899593199219e-03,8.879024706367401321e-03
3.512160945534708451e-02,2.896927256861300815e-02,2.334127053642893329e-02,1.835616357287996742e-02,1.409933754580345970e-02,1.062335720433483892e-02,7.949622830237503684e-03,6.070982012434370315e-03,4.954927895309857097e-03,4.547093097763021084e-03,4.657950912864550555e-03,5.551204858785821657e-03,6.778359839300324846e-03,8.352068296960456911e-03,9.566098333076668986e-03
3.599049962464061919e-02,2.989703075900998486e-02,2.380356189337935399e-02,1.862521720591018073e-02,1.419655867970560578e-02,1.057996763660835199e-02,7.805230866089287768e-03,5.871765456261815799e-03,4.906141888820544222e-03,4.219412706326489994e-03,4.720321137027567657e-03,5.646309648051747211e-03,7.067009716618254285e-03,8.870843449576641324e-03,1.025317195978593839e-02
3.595161027200854953e-02,2.947036312790598384e-02,2.351150541562311430e-02,1.821477198556782293e-02,1.368558034664568192e-02,9.994696746008044363e-03,6.915863634851186770e-03,5.244011764156135749e-03,4.567872039523046893e-03,3.891732314889958470e-03,4.350416728953984159e-03,5.448393874599011429e-03,7.077927557437705720e-03,9.120864460113013023e-03,1.094024558649520779e-02
3.498460885925656905e-02,2.844914727682569186e-02,2.243552494651219337e-02,1.709116788441242610e-02,1.252889332608866924e-02,8.826332013745006103e-03,6.026496403613084904e-03,4.139283756362136663e-03,3.961502786952210420e-03,3.783721817542284177e-03,3.605940848132358368e-03,4.894692303557758757e-03,6.744930312433283781e-03,9.186124762818879616e-03,1.162731921320447545e-02
3.310801469378037154e-02,2.658444971348829233e-02,2.058273020649168186e-02,1.565278756141921454e-02,1.072284491634674895e-02,7.066017649151284767e-03,4.333326348835457240e-03,4.256005407392524434e-03,4.178684465949591628e-03,4.101363524506658823e-03,4.024042583063725149e-03,3.946721641620792344e-03,6.025110082460411083e-03,8.559431320090430881e-03,1.141286233213267311e-02
3.037755377272071539e-02,2.392593399526837805e-02,1.799641963825953511e-02,1.274631272456639049e-02,1.187458468510393071e-02,1.100285664564146920e-02,1.013112860617900943e-02,9.259400566716551387e-03,8.387672527254091612e-03,7.515944487791631837e-03,6.644216448329171194e-03,5.772488408866711419e-03,4.900760369404251644e-03,7.678302286902271602e-03,1.078297676547828633e-02
