7.260325026957330230e-02,7.684516370777583205e-02,8.218422137000568062e-02,8.867991030932392826e-02,9.638857016625096419e-02,1.065616964272650680e-01,1.167348226882791995e-01,1.269079489492933033e-01,1.392216173127854006e-01,1.521190874169470741e-01,1.650314722332059392e-01,1.771952636586784924e-01,1.877196164565574088e-01,1.941239873907298075e-01,2.005283583249022061e-01,2.018035366833227096e-01,1.996629355937513672e-01,1.946147448165539695e-01,1.874274083872844998e-01,1.789592110693283000e-01,1.700140154280654348e-01,1.612558237407157591e-01,1.531829056504167563e-01,1.461435347235157389e-01,1.403722640403369248e-01
6.387690620664480956e-02,6.680368238088831012e-02,7.053807403506055784e-02,7.687330397598549081e-02,8.041189890837353860e-02,8.650419744205437023e-02,9.328367767786142906e-02,1.006258844910962735e-01,1.083375064858963649e-01,1.161452726263436513e-01,1.236963518965432524e-01,1.305777192474735227e-01,1.363589958213909936e-01,1.406554234287705207e-01,1.551045935875239312e-01,1.438826615807566045e-01,1.427998253397160522e-01,1.402035665010013255e-01,1.364638167148223558e-01,1.320006863106244765e-01,1.272271652662926300e-01,1.225108762332508816e-01,1.181571491088951875e-01,1.144093550576462531e-01,1.193435152177185765e-01
5.727163680311837812e-02,5.924880948847549567e-02,6.291378935008712370e-02,6.506669764264703948e-02,6.883701518417222054e-02,7.311027008872093835e-02,7.780246266171200742e-02,8.279589428231470816e-02,8.793385099623886314e-02,9.302005151987029208e-02,9.756284300689485600e-02,1.021056344939194338e-01,1.056250772560346080e-01,1.081905733711193557e-01,1.096808288501456424e-01,1.100673627191399440e-01,1.094192601075723581e-01,1.078907973057648684e-01,1.056963960743060454e-01,1.029938986630143660e-01,1.002914012517226727e-01,9.755990745992094981e-02,9.509125332860508817e-02,9.306250259378999468e-02,9.831476639510020044e-02
5.286984758534674089e-02,5.351178738397173451e-02,5.528950466511369649e-02,5.775454027375380439e-02,6.021957588239391229e-02,6.325659202549276106e-02,6.657237669498618227e-02,7.006489882956731807e-02,7.361024465845608655e-02,7.706513509198413547e-02,8.027409203481872257e-02,8.586136409761094268e-02,8.534783957557509626e-02,8.696659183137930849e-02,8.787960205146093384e-02,8.808565833014916913e-02,8.764090684528004493e-02,8.981979863660849439e-02,8.825413235201932938e-02,8.578148419767733790e-02,8.190413292471181161e-02,8.027115731849124303e-02,7.886862063400273959e-02,7.783186016011341135e-02,7.728601757248185211e-02
4.846805836757511060e-02,4.915715671179787111e-02,5.029396031051550087e-02,5.182680772379532480e-02,5.369988069672147063e-02,5.673637255436450588e-02,5.820077580102132886e-02,6.067522117528419134e-02,6.314966654954705383e-02,6.554119923491465161e-02,6.773169798138344022e-02,6.961709370130243768e-02,7.110941289509092877e-02,7.214682817388796965e-02,7.476649687728795235e-02,7.486354369171929757e-02,7.243981644713697043e-02,7.174879996745213429e-02,7.081186862973261331e-02,6.974392359401411501e-02,6.866479858315890916e-02,6.769292908756811833e-02,6.694189559338661888e-02,6.651988164633680645e-02,7.095333401004626228e-02
4.608058982195490511e-02,4.633270450535900697e-02,4.699568113763559485e-02,4.747881205997121074e-02,4.873414081197898623e-02,5.021615308323625765e-02,5.185708290314447466e-02,5.358484324605929106e-02,5.531260358897410745e-02,5.696467687677346514e-02,5.845820890609117887e-02,5.972074400049449255e-02,6.198876995146526681e-02,6.134272365762186152e-02,6.165339170311495698e-02,6.164142905328942601e-02,6.272304340451720361e-02,6.083195952824339836e-02,6.017362410500244618e-02,5.945940994750948533e-02,5.878116644019595882e-02,5.823137997687612144e-02,5.976211506728947714e-02,6.029598639661345322e-02,6.462065044761067245e-02
4.369312127633469961e-02,4.350825229892014284e-02,4.369740196475569577e-02,4.432989809623570643e-02,4.496239422771571709e-02,4.592086614021310270e-02,4.701500903253264668e-02,4.818025330259340794e-02,4.935046708951206645e-02,5.046038723096481216e-02,5.144918415887135554e-02,5.226475718273656396e-02,5.286812700783960484e-02,5.323716456333087155e-02,5.434398986935130849e-02,5.328026895815517194e-02,5.300627036189742292e-02,5.354757997742367465e-02,5.211591040113473100e-02,5.163114196615951196e-02,5.205503587434625462e-02,5.094810648433067968e-02,5.258233454119233541e-02,5.407209114689011387e-02,5.828796688517508262e-02
4.272094899750758512e-02,4.186628645056704456e-02,4.167864360913216271e-02,4.190847291887756648e-02,4.213830222862297026e-02,4.266963400938364459e-02,4.332562584586517607e-02,4.404918514687641146e-02,4.476364573794934520e-02,4.547810632902227201e-02,4.608326840892491144e-02,4.656128740352253464e-02,4.680179631918353345e-02,4.704230523484452531e-02,4.703458803558765305e-02,4.687947586926575344e-02,4.660812069299996585e-02,4.626320042660395093e-02,4.589613698915204210e-02,4.561252114882429626e-02,4.532890530849655042e-02,4.525322985872864967e-02,4.540255401509518673e-02,4.784819589716676758e-02,5.195528332273949973e-02
4.174877671868047757e-02,4.086328867802051235e-02,4.033390316617200405e-02,4.049716541799540381e-02,4.041590272490673541e-02,4.025868196569583335e-02,4.054978624959675038e-02,4.091117681951687846e-02,4.129429482010248120e-02,4.162495696709628962e-02,4.195561911409009803e-02,4.216682460937146160e-02,4.226977729217289842e-02,4.220231740270809218e-02,4.213485751324328593e-02,4.191939465775075535e-02,4.163893328705311342e-02,4.133036915772452663e-02,4.103749431900632211e-02,4.086737257113030181e-02,4.069725082325428150e-02,4.075691975615396839e-02,4.104556208342785562e-02,4.162430064744341435e-02,4.562259976030390296e-02
4.164120915116184540e-02,4.042844592402712600e-02,3.957726971519998777e-02,3.901929085919121631e-02,3.869350322119049362e-02,3.854418975181090473e-02,3.851981763477599352e-02,3.857278502417812310e-02,3.881220323143218937e-02,3.888529924953350314e-02,3.879207307848207137e-02,3.878326893534353448e-02,3.911824447604421440e-02,3.876198782589967973e-02,3.832757468518904753e-02,3.805509361023448611e-02,3.775707423436226035e-02,3.746598258338990073e-02,3.762937017911044402e-02,3.706123550705263392e-02,3.742005092026047530e-02,3.719146469429129853e-02,3.758067839285558071e-02,3.825933043217553259e-02,3.928991619786832007e-02
