CP,r_AV
-1.300000000000000044e+00,6.500000000000000222e-02
-1.264285714285714235e+00,7.071428571428571563e-02
-1.228571428571428648e+00,7.642857142857142905e-02
-1.192857142857142838e+00,8.214285714285714246e-02
-1.157142857142857251e+00,8.785714285714285587e-02
-1.121428571428571441e+00,9.357142857142856929e-02
-1.085714285714285854e+00,9.928571428571428270e-02
-1.050000000000000044e+00,1.049999999999999961e-01
-1.014285714285714235e+00,1.107142857142857095e-01
-9.785714285714286476e-01,1.164285714285714229e-01
-9.428571428571429491e-01,1.221428571428571364e-01
-9.071428571428572507e-01,1.278571428571428359e-01
-8.714285714285714413e-01,1.335714285714285632e-01
-8.357142857142858539e-01,1.392857142857142905e-01
-8.000000000000000444e-01,1.449999999999999900e-01
