4.877208669779638066e-03,3.959638899996601250e-03,3.409267648734737918e-03,3.192861909167215434e-03,3.261360718409466938e-03,3.635170368023493692e-03,4.008980017637520446e-03,4.558090685855066201e-03,5.140712217738616606e-03,5.700564303158149604e-03,6.187390134327415588e-03,6.557546897259033600e-03,6.775401025895073752e-03,6.815329760105456186e-03,6.663582314207467695e-03
7.637955629770115488e-03,6.069287014903095717e-03,5.080065406722563542e-03,4.518184588916280935e-03,3.610828692871238203e-03,3.552220311182852086e-03,3.493611929494465970e-03,3.727045398974769899e-03,4.099912827734945517e-03,4.472780256495120267e-03,4.847757304724227903e-03,5.222734352953334672e-03,5.684890834589909070e-03,5.628478413604668870e-03,5.632732044317034087e-03
1.073680552594848819e-02,8.543795163095932454e-03,6.750863164710389601e-03,5.555973671684863620e-03,4.361084178659337639e-03,4.060645391905687469e-03,3.545904828126597141e-03,3.284378083390111780e-03,3.454765637823326973e-03,3.625153192256542166e-03,4.076288388758403033e-03,4.399364205767803196e-03,4.594380643284743521e-03,4.853596455560972578e-03,5.026669032661712846e-03
1.403089676783605445e-02,1.145719352192586804e-02,8.883490276015679893e-03,6.942115707744212633e-03,5.429939233736228235e-03,4.327240067563259233e-03,3.598197726758728312e-03,3.195272688143824345e-03,3.063607053884655727e-03,3.144963025591459693e-03,3.380977621065330094e-03,3.739538552274780311e-03,4.098099483484230962e-03,4.483128267880660649e-03,4.833940068015445818e-03
1.736631463051274346e-02,1.405642343934389998e-02,1.137862381711900704e-02,8.700824194894114100e-03,6.941933977421614957e-03,5.183043759949116681e-03,4.089532446637713682e-03,3.392585923126210500e-03,3.042577447221071242e-03,2.983249318346722998e-03,3.241100615086924333e-03,3.498951911827125668e-03,4.102634056284294034e-03,4.627465744316148523e-03,5.012858902199751783e-03
2.045328784850072856e-02,1.680230848017031514e-02,1.342372993026488132e-02,1.050797731207482773e-02,8.087680836334949080e-03,6.171836474576268897e-03,4.748222450352955308e-03,3.786847629061031433e-03,3.243889324273729197e-03,3.065634408358432813e-03,3.192116306509807603e-03,3.649642467797082138e-03,4.107168629084356239e-03,4.771803220751636397e-03,5.498063809863014406e-03
2.354026106648871366e-02,1.934504349598333353e-02,1.555057922370008811e-02,1.222980678132233427e-02,9.430471834236130863e-03,7.175313643236515271e-03,5.435279543713540662e-03,4.274923880137873958e-03,3.581812158249361288e-03,3.463314387123579176e-03,3.404573760787311769e-03,3.963491602226094923e-03,4.522409443664877210e-03,5.346717960094797897e-03,6.207005298508491177e-03
2.608881168190676017e-02,2.154785469103555340e-02,1.740140092984738054e-02,1.357022175868694003e-02,1.061584937043320333e-02,7.965344558727428109e-03,6.122336637074126016e-03,4.748152946961165140e-03,3.919734992224993379e-03,3.807688995550687506e-03,3.695642998876381632e-03,4.316646628560890341e-03,4.937650258245399049e-03,5.921632699437958530e-03,7.046536184994678376e-03
2.811159933031894334e-02,2.328994711982923169e-02,1.885616691604588904e-02,1.491063673605154405e-02,1.134059567965787010e-02,8.755375474218339213e-03,6.614046894414702185e-03,5.400292568791816711e-03,4.186538243168931236e-03,3.828784983342986038e-03,3.965883098047615941e-03,4.696510376201703564e-03,5.427137654355791187e-03,6.586685437548903468e-03,7.631637848917370570e-03
2.951068998820817468e-02,2.447136493844766919e-02,1.981375979505003992e-02,1.564979021502340903e-02,1.206534198888253515e-02,9.118566016824574544e-03,6.839672177058876874e-03,5.232063878021787559e-03,4.274533385740605755e-03,3.924220213146353831e-03,4.019539725961043808e-03,4.786795436596988536e-03,5.838737139579868590e-03,7.184321920889881301e-03,8.216739512840061030e-03
3.021384167923905906e-02,2.520489764713643513e-02,2.019595361503381120e-02,1.587406840981065576e-02,1.214665283831029702e-02,9.081173436276580510e-03,6.716021195563041425e-03,5.061119972552870043e-03,4.232011711032861861e-03,3.642300993975730941e-03,4.073196353874471674e-03,4.868404977398529954e-03,6.085865818516811819e-03,7.627161633594553049e-03,8.801841176762753224e-03
3.017637875681895843e-02,2.487649279333928667e-02,1.995016421156761005e-02,1.552772187854795441e-02,1.171333214455664781e-02,8.582369517352944621e-03,5.954273583678691695e-03,4.522218031035694571e-03,3.941299902920401312e-03,3.360381774805108485e-03,3.755083180562751154e-03,4.698427234874568391e-03,6.095050167788247132e-03,7.840235497293360223e-03,9.386942840685443684e-03
2.938201092458540831e-02,2.403034591428496874e-02,1.905112357691541788e-02,1.458150195392805652e-02,1.073244648254863438e-02,7.585778677709873082e-03,5.192525971794342832e-03,3.572619673568769305e-03,3.419843810132322005e-03,3.267067946695873838e-03,3.114292083259426105e-03,4.222716104009122118e-03,5.809641623652161101e-03,7.890843064130148923e-03,9.972044504608135879e-03
2.784272545748433733e-02,2.248543633131343603e-02,1.750161241187461400e-02,1.334978516902646239e-02,9.197957926178309054e-03,6.081105999599133345e-03,3.738579132178028626e-03,3.672336870485161820e-03,3.606094608792294581e-03,3.539852347099427775e-03,3.473610085406560969e-03,3.407367823713694163e-03,5.192404238624541424e-03,7.360150182693993813e-03,9.789071510132005965e-03
2.559785304117291257e-02,2.027697089734067579e-02,1.533234360281097303e-02,1.091043137821144302e-02,1.016783047735870908e-02,9.425229576505975149e-03,8.682628675653244685e-03,7.940027774800510751e-03,7.197426873947778553e-03,6.454825973095046354e-03,5.712225072242312421e-03,4.969624171389578488e-03,4.227023270536847156e-03,6.606688735534534639e-03,9.252693798367911046e-03
