COD_max,LCOW,SEC,Ener_aeration,SEC_electroNP,Ne_SEC
9.500000000000000111e-02,5.945421805061310572e-01,1.155865771475958592e+00,1.090935625943683318e+00,1.574531293956171795e-03,4.771972992111750966e-01
9.535714285714286254e-02,5.436946324906786199e-01,6.844132508910334423e-01,6.201267479892156320e-01,1.413671499867247662e-03,4.771972992111750966e-01
9.571428571428571008e-02,5.280171871678716045e-01,5.602174453379499264e-01,4.958002158532823223e-01,1.879443911685039700e-03,4.771972992111750966e-01
9.607142857142857151e-02,5.231324631129279368e-01,5.002385544812009144e-01,4.357946197258338872e-01,1.751480474360185384e-03,4.771972992111750966e-01
9.642857142857143293e-02,5.182477390579843801e-01,4.402596636244519579e-01,3.757890235983853966e-01,1.623517037035331284e-03,4.771972992111750966e-01
9.678571428571429436e-02,5.186634779779063509e-01,4.359522170968919141e-01,3.716971297830909959e-01,1.366282965868598556e-03,4.771972992111750966e-01
9.714285714285714191e-02,5.203455284993234731e-01,4.199536669142963641e-01,3.551015356278934831e-01,1.561599938558540452e-03,4.771972992111750966e-01
9.750000000000000333e-02,5.220275790207405953e-01,4.039551167317008140e-01,3.385059414726959703e-01,1.756916911248482347e-03,4.771972992111750966e-01
9.785714285714286476e-02,5.181032772074923853e-01,4.282712673117366475e-01,3.638043341114661766e-01,1.487892270707145493e-03,4.771972992111750966e-01
9.821428571428571230e-02,5.181032772074949388e-01,4.282712665297874755e-01,3.638043333266731127e-01,1.487892263834475958e-03,4.771972992111750966e-01
9.857142857142857373e-02,5.181032772074914972e-01,4.282712725359951178e-01,3.638043394659051244e-01,1.487892205527360529e-03,4.771972992111750966e-01
9.892857142857143515e-02,5.181032772074902759e-01,4.282712656722378886e-01,3.638043324660070743e-01,1.487892256295349084e-03,4.771972992111750966e-01
9.928571428571429658e-02,5.186634780731843586e-01,4.359522000296212618e-01,3.716971125184544422e-01,1.366282972885561088e-03,4.771972992111750966e-01
9.964285714285714413e-02,5.181032772074941617e-01,4.282712652116060781e-01,3.638043320036973838e-01,1.487892252249342932e-03,4.771972992111750966e-01
1.000000000000000056e-01,5.181032771733470321e-01,4.282712707255086904e-01,3.638043378517279436e-01,1.487891990242357814e-03,4.771972992111750966e-01
