Immersion Depth (in),oxygen,Group No,Capacity,pixel index,Power Drawn (HP)
-3.152564103,173.5474806,16,90,0.495849945,44.62649501
-3.162293956,133.7352678,16,80,0.382100765,34.38906886
-3.152564103,99.0153149,16,70,0.2829009,25.46108097
-3.162293956,70.77641984,16,60,0.202218342,18.19965082
-3.162293956,47.62978455,16,50,0.136085099,12.24765888
-3.726625458,212.8967606,17,100,0.608276459,54.7448813
-3.726625458,168.4552208,17,90,0.481300631,43.31705678
-3.716895604,129.5688735,17,80,0.370196781,33.31771033
-3.716895604,96.70065137,17,70,0.276287575,24.86588178
-3.726625458,67.99882361,17,60,0.194282353,17.48541179
-3.716895604,46.24098643,17,50,0.132117104,11.89053937
-4.281227106,206.4157027,18,100,0.589759151,53.07832355
-4.281227106,163.362961,18,90,0.466751317,42.00761854
-4.281227106,124.9395464,18,80,0.356970133,32.12731193
-4.281227106,93.46012243,18,70,0.267028921,24.03260291
-4.281227106,66.61002549,18,60,0.190314359,17.12829227
-4.281227106,44.85218831,18,50,0.128149109,11.53341985
-4.855288462,199.4717121,19,100,0.569919177,51.29272597
-4.855288462,158.2707013,19,90,0.452202004,40.69818033
-4.845558608,121.6990175,19,80,0.347711479,31.29403307
-4.855288462,90.21959349,19,70,0.257770267,23.19932404
-4.855288462,64.75829466,19,60,0.185023699,16.65213291
-4.855288462,43.00045749,19,50,0.12285845,11.0572605
-5.117994505,196.2311831,20,100,0.560660523,50.45944708
-5.117994505,155.493105,20,90,0.444266014,39.98394129
-5.117994505,119.384354,20,80,0.341098154,30.69883389
-5.108264652,88.83079537,20,70,0.253802272,22.84220452
-5.117994505,63.83242925,20,60,0.182378369,16.41405324
-5.117994505,43.00045749,20,50,0.12285845,11.0572605
